id,code,name,geoid,riskScore,status,avgTemperature,affectedPopulation
tract-04013116204,04013116204,Census Tract 1162.04,04013116204,49.82,moderate,39.63,4409
tract-04013108400,04013108400,Census Tract 1084,04013108400,49.74,moderate,39.36,5726
tract-04013113800,04013113800,Census Tract 1138,04013113800,49.73,moderate,39.6,2581
tract-04013104000,04013104000,Census Tract 1040,04013104000,49.69,moderate,39.29,7646
tract-04013106001,04013106001,Census Tract 1060.01,04013106001,49.64,moderate,39.31,1856
tract-04013110701,04013110701,Census Tract 1107.01,04013110701,49.63,moderate,39.46,2244
tract-04013108901,04013108901,Census Tract 1089.01,04013108901,49.58,moderate,39.48,2364
tract-04013109401,04013109401,Census Tract 1094.01,04013109401,49.44,moderate,39.35,3383
tract-04013104402,04013104402,Census Tract 1044.02,04013104402,49.44,moderate,39.31,2474
tract-04013112519,04013112519,Census Tract 1125.19,04013112519,49.22,moderate,39.41,5173
tract-04013113000,04013113000,Census Tract 1130,04013113000,49.13,moderate,39.62,4041
tract-04013110400,04013110400,Census Tract 1104,04013110400,49.1,moderate,39.48,4948
tract-04013108802,04013108802,Census Tract 1088.02,04013108802,49.05,moderate,39.46,2118
tract-04013113702,04013113702,Census Tract 1137.02,04013113702,48.94,moderate,39.55,2540
tract-04013106802,04013106802,Census Tract 1068.02,04013106802,48.88,moderate,39.34,3315
tract-04013109601,04013109601,Census Tract 1096.01,04013109601,48.85,moderate,39.47,4552
tract-04013107002,04013107002,Census Tract 1070.02,04013107002,48.8,moderate,39.32,3854
tract-04013104204,04013104204,Census Tract 1042.04,04013104204,48.78,moderate,39.48,3152
tract-04013083000,04013083000,Census Tract 830,04013083000,48.78,moderate,39.05,7221
tract-04013217400,04013217400,Census Tract 2174,04013217400,48.78,moderate,39.27,3434
tract-04013115700,04013115700,Census Tract 1157,04013115700,48.68,moderate,39.55,7457
tract-04013115200,04013115200,Census Tract 1152,04013115200,48.68,moderate,39.62,3427
tract-04013111700,04013111700,Census Tract 1117,04013111700,48.48,moderate,39.59,5554
tract-04013108602,04013108602,Census Tract 1086.02,04013108602,48.46,moderate,39.47,6667
tract-04013318501,04013318501,Census Tract 3185.01,04013318501,48.45,moderate,39.38,3369
tract-04013116717,04013116717,Census Tract 1167.17,04013116717,48.43,moderate,39.48,3190
tract-04013107402,04013107402,Census Tract 1074.02,04013107402,48.3,moderate,39.36,1479
tract-04013116900,04013116900,Census Tract 1169,04013116900,48.3,moderate,39.42,2653
tract-04013113601,04013113601,Census Tract 1136.01,04013113601,48.26,moderate,39.54,4911
tract-04013112504,04013112504,Census Tract 1125.04,04013112504,48.24,moderate,39.39,4024
tract-04013111501,04013111501,Census Tract 1115.01,04013111501,48.21,moderate,39.5,2148
tract-04013111203,04013111203,Census Tract 1112.03,04013111203,48.1,moderate,39.49,1962
tract-04013104226,04013104226,Census Tract 1042.26,04013104226,48.08,moderate,39.37,4173
tract-04013115500,04013115500,Census Tract 1155,04013115500,48.06,moderate,39.37,3864
tract-04013116718,04013116718,Census Tract 1167.18,04013116718,48.04,moderate,39.43,2575
tract-04013116300,04013116300,Census Tract 1163,04013116300,48.02,moderate,39.29,6181
tract-04013109704,04013109704,Census Tract 1097.04,04013109704,47.89,moderate,39.44,2519
tract-04013115900,04013115900,Census Tract 1159,04013115900,47.86,moderate,39.46,6225
tract-04013117100,04013117100,Census Tract 1171,04013117100,47.73,moderate,39.48,2920
tract-04013110902,04013110902,Census Tract 1109.02,04013110902,47.71,moderate,39.35,4617
tract-04013105701,04013105701,Census Tract 1057.01,04013105701,47.68,moderate,39.35,3494
tract-04013112100,04013112100,Census Tract 1121,04013112100,47.66,moderate,39.54,3919
tract-04013116709,04013116709,Census Tract 1167.09,04013116709,47.62,moderate,39.45,2587
tract-04013616100,04013616100,Census Tract 6161,04013616100,47.58,moderate,39.53,3833
tract-04013107201,04013107201,Census Tract 1072.01,04013107201,47.54,moderate,39.33,3129
tract-04013106003,04013106003,Census Tract 1060.03,04013106003,47.53,moderate,39.31,4037
tract-04013105602,04013105602,Census Tract 1056.02,04013105602,47.49,moderate,39.35,6399
tract-04013614400,04013614400,Census Tract 6144,04013614400,47.45,moderate,39.3,4008
tract-04013112512,04013112512,Census Tract 1125.12,04013112512,47.42,moderate,39.4,660
tract-04013116611,04013116611,Census Tract 1166.11,04013116611,47.32,moderate,39.41,4236
tract-04013116400,04013116400,Census Tract 1164,04013116400,47.27,moderate,39.43,5913
tract-04013106300,04013106300,Census Tract 1063,04013106300,47.26,moderate,39.07,5280
tract-04013110100,04013110100,Census Tract 1101,04013110100,47.25,moderate,39.4,6915
tract-04013107401,04013107401,Census Tract 1074.01,04013107401,47.18,moderate,39.36,2681
tract-04013116614,04013116614,Census Tract 1166.14,04013116614,47.14,moderate,39.46,3709
tract-04013110801,04013110801,Census Tract 1108.01,04013110801,47.12,moderate,39.42,5025
tract-04013614300,04013614300,Census Tract 6143,04013614300,47.07,moderate,39.37,2954
tract-04013105702,04013105702,Census Tract 1057.02,04013105702,47.06,moderate,39.37,4287
tract-04013110702,04013110702,Census Tract 1107.02,04013110702,47.05,moderate,39.43,4571
tract-04013109706,04013109706,Census Tract 1097.06,04013109706,47.01,moderate,39.4,3241
tract-04013107300,04013107300,Census Tract 1073,04013107300,46.9,moderate,39.36,6830
tract-04013111201,04013111201,Census Tract 1112.01,04013111201,46.84,moderate,39.28,6230
tract-04013104501,04013104501,Census Tract 1045.01,04013104501,46.8,moderate,39.07,4070
tract-04013111202,04013111202,Census Tract 1112.02,04013111202,46.76,moderate,39.47,1792
tract-04013106502,04013106502,Census Tract 1065.02,04013106502,46.7,moderate,39.32,3692
tract-04013112502,04013112502,Census Tract 1125.02,04013112502,46.67,moderate,39.39,5997
tract-04013109900,04013109900,Census Tract 1099,04013109900,46.64,moderate,39.38,7676
tract-04013105300,04013105300,Census Tract 1053,04013105300,46.62,moderate,39.21,4868
tract-04013116708,04013116708,Census Tract 1167.08,04013116708,46.56,moderate,39.14,5235
tract-04013106501,04013106501,Census Tract 1065.01,04013106501,46.5,moderate,39.39,3035
tract-04013616400,04013616400,Census Tract 6164,04013616400,46.39,moderate,39.24,6483
tract-04013116202,04013116202,Census Tract 1162.02,04013116202,46.38,moderate,39.55,5017
tract-04013115600,04013115600,Census Tract 1156,04013115600,46.38,moderate,39.27,4241
tract-04013616300,04013616300,Census Tract 6163,04013616300,46.37,moderate,39.29,1847
tract-04013616200,04013616200,Census Tract 6162,04013616200,46.32,moderate,39.37,3553
tract-04013109101,04013109101,Census Tract 1091.01,04013109101,46.24,moderate,39.33,3798
tract-04013109702,04013109702,Census Tract 1097.02,04013109702,46.09,moderate,39.41,5918
tract-04013109603,04013109603,Census Tract 1096.03,04013109603,46.04,moderate,39.46,4116
tract-04013112522,04013112522,Census Tract 1125.22,04013112522,46.01,moderate,39.39,6843
tract-04013104202,04013104202,Census Tract 1042.02,04013104202,45.94,moderate,39.38,4668
tract-04013107001,04013107001,Census Tract 1070.01,04013107001,45.78,moderate,39.32,4621
tract-04013112521,04013112521,Census Tract 1125.21,04013112521,45.65,moderate,39.39,3059
tract-04013107602,04013107602,Census Tract 1076.02,04013107602,45.55,moderate,39.38,2749
tract-04013107102,04013107102,Census Tract 1071.02,04013107102,45.5,moderate,39.33,5414
tract-04013106200,04013106200,Census Tract 1062,04013106200,45.4,moderate,39.32,3410
tract-04013111401,04013111401,Census Tract 1114.01,04013111401,45.38,moderate,39.44,4473
tract-04013104206,04013104206,Census Tract 1042.06,04013104206,45.34,moderate,39.37,3711
tract-04013110001,04013110001,Census Tract 1100.01,04013110001,45.32,moderate,39.38,5062
tract-04013104225,04013104225,Census Tract 1042.25,04013104225,45.28,moderate,39.39,3629
tract-04013104207,04013104207,Census Tract 1042.07,04013104207,45.24,moderate,39.28,4298
tract-04013109801,04013109801,Census Tract 1098.01,04013109801,45.22,moderate,39.39,5028
tract-04013109604,04013109604,Census Tract 1096.04,04013109604,45.18,moderate,39.39,4428
tract-04013082008,04013082008,Census Tract 820.08,04013082008,45.17,moderate,39.46,5820
tract-04013109707,04013109707,Census Tract 1097.07,04013109707,45.14,moderate,39.39,5038
tract-04013107101,04013107101,Census Tract 1071.01,04013107101,45.11,moderate,39.33,5244
tract-04013104100,04013104100,Census Tract 1041,04013104100,44.97,moderate,39.28,7580
tract-04013105103,04013105103,Census Tract 1051.03,04013105103,44.92,moderate,39.16,2969
tract-04013103609,04013103609,Census Tract 1036.09,04013103609,44.82,moderate,39.18,5706
tract-04013618400,04013618400,Census Tract 6184,04013618400,44.8,moderate,39.23,3687
tract-04013105501,04013105501,Census Tract 1055.01,04013105501,44.78,moderate,39.3,2303
tract-04013105400,04013105400,Census Tract 1054,04013105400,44.76,moderate,39.23,3677
tract-04013082016,04013082016,Census Tract 820.16,04013082016,44.74,moderate,39.27,3178
tract-04013109602,04013109602,Census Tract 1096.02,04013109602,44.72,moderate,39.42,7841
tract-04013109500,04013109500,Census Tract 1095,04013109500,44.7,moderate,39.38,5868
tract-04013216830,04013216830,Census Tract 2168.30,04013216830,44.7,moderate,38.96,2785
tract-04013108501,04013108501,Census Tract 1085.01,04013108501,44.68,moderate,39.39,2451
tract-04013110002,04013110002,Census Tract 1100.02,04013110002,44.66,moderate,39.38,4797
tract-04013112520,04013112520,Census Tract 1125.20,04013112520,44.62,moderate,39.39,4163
tract-04013618300,04013618300,Census Tract 6183,04013618300,44.58,moderate,39.34,2789
tract-04013106703,04013106703,Census Tract 1067.03,04013106703,44.58,moderate,39.36,2440
tract-04013109802,04013109802,Census Tract 1098.02,04013109802,44.51,moderate,39.39,4629
tract-04013109300,04013109300,Census Tract 1093,04013109300,44.5,moderate,39.34,4767
tract-04013107500,04013107500,Census Tract 1075,04013107500,44.5,moderate,39.39,3464
tract-04013104219,04013104219,Census Tract 1042.19,04013104219,44.41,moderate,39.41,3906
tract-04013106900,04013106900,Census Tract 1069,04013106900,44.28,moderate,39.32,8260
tract-04013103208,04013103208,Census Tract 1032.08,04013103208,44.26,moderate,38.93,3272
tract-04013082007,04013082007,Census Tract 820.07,04013082007,44.25,moderate,39.33,3819
tract-04013104212,04013104212,Census Tract 1042.12,04013104212,44.24,moderate,39.38,6340
tract-04013107700,04013107700,Census Tract 1077,04013107700,44.2,moderate,39.27,4117
tract-04013618800,04013618800,Census Tract 6188,04013618800,44.16,moderate,39.12,5478
tract-04013116715,04013116715,Census Tract 1167.15,04013116715,44.14,moderate,39.28,1797
tract-04013112401,04013112401,Census Tract 1124.01,04013112401,44.14,moderate,39.39,6194
tract-04013107202,04013107202,Census Tract 1072.02,04013107202,44.01,moderate,39.33,5019
tract-04013618600,04013618600,Census Tract 6186,04013618600,43.91,moderate,39.19,4352
tract-04013109705,04013109705,Census Tract 1097.05,04013109705,43.82,moderate,39.42,1869
tract-04013111100,04013111100,Census Tract 1111,04013111100,43.77,moderate,39.26,4997
tract-04013105601,04013105601,Census Tract 1056.01,04013105601,43.76,moderate,39.31,4061
tract-04013116720,04013116720,Census Tract 1167.20,04013116720,43.74,moderate,39.36,3996
tract-04013107900,04013107900,Census Tract 1079,04013107900,43.71,moderate,38.91,3835
tract-04013111000,04013111000,Census Tract 1110,04013111000,43.6,moderate,39.33,4343
tract-04013616500,04013616500,Census Tract 6165,04013616500,43.55,moderate,39.15,3548
tract-04013618200,04013618200,Census Tract 6182,04013618200,43.53,moderate,39.3,4014
tract-04013104301,04013104301,Census Tract 1043.01,04013104301,43.46,moderate,39.36,3955
tract-04013614500,04013614500,Census Tract 6145,04013614500,43.4,moderate,39.26,4423
tract-04013092720,04013092720,Census Tract 927.20,04013092720,43.35,moderate,39.34,6920
tract-04013108302,04013108302,Census Tract 1083.02,04013108302,43.34,moderate,39.22,3258
tract-04013112402,04013112402,Census Tract 1124.02,04013112402,43.32,moderate,39.4,6231
tract-04013116205,04013116205,Census Tract 1162.05,04013116205,43.31,moderate,39.36,3975
tract-04013116606,04013116606,Census Tract 1166.06,04013116606,43.24,moderate,39.24,6091
tract-04013320100,04013320100,Census Tract 3201,04013320100,43.24,moderate,39.38,3883
tract-04013104502,04013104502,Census Tract 1045.02,04013104502,43.2,moderate,39.07,5576
tract-04013108200,04013108200,Census Tract 1082,04013108200,43.11,moderate,39.21,3109
tract-04013082009,04013082009,Census Tract 820.09,04013082009,43.04,moderate,39.25,5099
tract-04013108502,04013108502,Census Tract 1085.02,04013108502,42.99,moderate,39.39,3376
tract-04013082012,04013082012,Census Tract 820.12,04013082012,42.94,moderate,39.34,7139
tract-04013082002,04013082002,Census Tract 820.02,04013082002,42.89,moderate,39.32,6265
tract-04013104702,04013104702,Census Tract 1047.02,04013104702,42.86,moderate,38.82,3778
tract-04013618100,04013618100,Census Tract 6181,04013618100,42.77,moderate,39.36,4209
tract-04013114705,04013114705,Census Tract 1147.05,04013114705,42.62,moderate,39.68,3325
tract-04013105800,04013105800,Census Tract 1058,04013105800,42.53,moderate,39.32,6273
tract-04013104203,04013104203,Census Tract 1042.03,04013104203,42.51,moderate,39.4,7413
tract-04013104218,04013104218,Census Tract 1042.18,04013104218,42.42,moderate,39.4,3807
tract-04013103604,04013103604,Census Tract 1036.04,04013103604,42.39,moderate,39.07,4441
tract-04013112523,04013112523,Census Tract 1125.23,04013112523,42.31,moderate,39.38,4435
tract-04013082206,04013082206,Census Tract 822.06,04013082206,42.09,moderate,39.33,4429
tract-04013116711,04013116711,Census Tract 1167.11,04013116711,42.08,moderate,39.15,2079
tract-04013614700,04013614700,Census Tract 6147,04013614700,41.94,moderate,39.11,3527
tract-04013116730,04013116730,Census Tract 1167.30,04013116730,41.92,moderate,39.46,1729
tract-04013116607,04013116607,Census Tract 1166.07,04013116607,41.92,moderate,39.33,4238
tract-04013103900,04013103900,Census Tract 1039,04013103900,41.86,moderate,39.16,6754
tract-04013103615,04013103615,Census Tract 1036.15,04013103615,41.82,moderate,38.89,5463
tract-04013104600,04013104600,Census Tract 1046,04013104600,41.82,moderate,38.95,3956
tract-04013103608,04013103608,Census Tract 1036.08,04013103608,41.8,moderate,39.22,4259
tract-04013116719,04013116719,Census Tract 1167.19,04013116719,41.78,moderate,39.4,6679
tract-04013614601,04013614601,Census Tract 6146.01,04013614601,41.7,moderate,39.28,3328
tract-04013103612,04013103612,Census Tract 1036.12,04013103612,41.62,moderate,39.08,5155
tract-04013108301,04013108301,Census Tract 1083.01,04013108301,41.54,moderate,39.23,3902
tract-04013111300,04013111300,Census Tract 1113,04013111300,41.42,moderate,39.36,5679
tract-04013116619,04013116619,Census Tract 1166.19,04013116619,41.4,moderate,39.34,5161
tract-04013112514,04013112514,Census Tract 1125.14,04013112514,41.32,moderate,39.36,4533
tract-04013611400,04013611400,Census Tract 6114,04013611400,41.18,moderate,39.21,5944
tract-04013082207,04013082207,Census Tract 822.07,04013082207,41.15,moderate,39.32,3568
tract-04013106400,04013106400,Census Tract 1064,04013106400,40.98,moderate,39.24,3265
tract-04013116620,04013116620,Census Tract 1166.20,04013116620,40.84,moderate,39.24,8046
tract-04013116732,04013116732,Census Tract 1167.32,04013116732,40.82,moderate,39.06,4001
tract-04013103209,04013103209,Census Tract 1032.09,04013103209,40.77,moderate,38.93,4814
tract-04013082028,04013082028,Census Tract 820.28,04013082028,40.71,moderate,39.15,4797
tract-04013116203,04013116203,Census Tract 1162.03,04013116203,40.69,moderate,39.24,7026
tract-04013616600,04013616600,Census Tract 6166,04013616600,40.53,moderate,39.15,6128
tract-04013116605,04013116605,Census Tract 1166.05,04013116605,40.53,moderate,39.27,7207
tract-04013116735,04013116735,Census Tract 1167.35,04013116735,40.47,moderate,38.94,3137
tract-04013082010,04013082010,Census Tract 820.10,04013082010,40.29,moderate,39.32,5517
tract-04013618700,04013618700,Census Tract 6187,04013618700,40.27,moderate,39.15,3060
tract-04013105200,04013105200,Census Tract 1052,04013105200,40.23,moderate,39.01,6259
tract-04013116721,04013116721,Census Tract 1167.21,04013116721,40.11,moderate,39.15,3653
tract-04013611700,04013611700,Census Tract 6117,04013611700,40.04,moderate,39.18,6072
tract-04013116612,04013116612,Census Tract 1166.12,04013116612,40.0,moderate,39.25,6707
tract-04013116617,04013116617,Census Tract 1166.17,04013116617,39.87,moderate,39.17,3649
tract-04013111204,04013111204,Census Tract 1112.04,04013111204,39.75,moderate,39.37,3666
tract-04013116610,04013116610,Census Tract 1166.10,04013116610,39.71,moderate,39.26,6798
tract-04013618500,04013618500,Census Tract 6185,04013618500,39.7,moderate,39.24,4405
tract-04013092719,04013092719,Census Tract 927.19,04013092719,39.53,moderate,39.21,4895
tract-04013614602,04013614602,Census Tract 6146.02,04013614602,39.31,moderate,39.25,3726
tract-04013112518,04013112518,Census Tract 1125.18,04013112518,39.3,moderate,39.25,5169
tract-04013082204,04013082204,Census Tract 822.04,04013082204,39.12,moderate,39.27,7104
tract-04013082212,04013082212,Census Tract 822.12,04013082212,39.07,moderate,39.24,6211
tract-04013611800,04013611800,Census Tract 6118,04013611800,38.98,moderate,39.28,7046
tract-04013108000,04013108000,Census Tract 1080,04013108000,38.98,moderate,39.09,2843
tract-04013116621,04013116621,Census Tract 1166.21,04013116621,38.84,moderate,39.31,5798
tract-04013116725,04013116725,Census Tract 1167.25,04013116725,38.73,moderate,39.16,5226
tract-04013217300,04013217300,Census Tract 2173,04013217300,38.7,moderate,38.99,4850
tract-04013116616,04013116616,Census Tract 1166.16,04013116616,38.67,moderate,39.22,5232
tract-04013082017,04013082017,Census Tract 820.17,04013082017,38.66,moderate,39.17,5146
tract-04013104701,04013104701,Census Tract 1047.01,04013104701,38.66,moderate,38.87,2944
tract-04013116712,04013116712,Census Tract 1167.12,04013116712,38.58,moderate,39.15,6893
tract-04013082018,04013082018,Census Tract 820.18,04013082018,38.56,moderate,39.16,5393
tract-04013112515,04013112515,Census Tract 1125.15,04013112515,38.37,moderate,39.1,4594
tract-04013614800,04013614800,Census Tract 6148,04013614800,38.35,moderate,39.17,4395
tract-04013082205,04013082205,Census Tract 822.05,04013082205,38.28,moderate,39.22,6967
tract-04013610800,04013610800,Census Tract 6108,04013610800,38.24,moderate,39.2,6712
tract-04013105003,04013105003,Census Tract 1050.03,04013105003,37.72,moderate,38.94,3959
tract-04013116710,04013116710,Census Tract 1167.10,04013116710,37.63,moderate,38.89,5256
tract-04013103605,04013103605,Census Tract 1036.05,04013103605,37.46,moderate,38.9,5786
tract-04013116618,04013116618,Census Tract 1166.18,04013116618,37.45,moderate,39.23,5416
tract-04013112516,04013112516,Census Tract 1125.16,04013112516,37.4,moderate,39.05,4721
tract-04013116714,04013116714,Census Tract 1167.14,04013116714,37.27,moderate,38.99,3457
tract-04013116727,04013116727,Census Tract 1167.27,04013116727,36.9,moderate,39.08,3781
tract-04013116713,04013116713,Census Tract 1167.13,04013116713,36.78,moderate,39.11,5684
tract-04013104802,04013104802,Census Tract 1048.02,04013104802,36.7,moderate,38.77,5582
tract-04013116734,04013116734,Census Tract 1167.34,04013116734,36.66,moderate,38.91,1740
tract-04013103206,04013103206,Census Tract 1032.06,04013103206,36.37,moderate,38.95,2278
tract-04013610002,04013610002,Census Tract 6100.02,04013610002,36.34,moderate,38.92,6616
tract-04013112524,04013112524,Census Tract 1125.24,04013112524,36.33,moderate,39.01,5060
tract-04013112508,04013112508,Census Tract 1125.08,04013112508,36.2,moderate,38.95,2412
tract-04013103207,04013103207,Census Tract 1032.07,04013103207,36.16,moderate,38.88,2275
tract-04013103214,04013103214,Census Tract 1032.14,04013103214,36.14,moderate,38.92,3781
tract-04013082213,04013082213,Census Tract 822.13,04013082213,36.12,moderate,39.18,6973
tract-04013103217,04013103217,Census Tract 1032.17,04013103217,35.78,moderate,38.83,5676
tract-04013103614,04013103614,Census Tract 1036.14,04013103614,35.6,moderate,38.76,2888
tract-04013116728,04013116728,Census Tract 1167.28,04013116728,35.56,moderate,39.11,5362
tract-04013112517,04013112517,Census Tract 1125.17,04013112517,35.44,moderate,39.06,5270
tract-04013103212,04013103212,Census Tract 1032.12,04013103212,35.42,moderate,38.9,4223
tract-04013103205,04013103205,Census Tract 1032.05,04013103205,35.33,moderate,38.95,2471
tract-04013103702,04013103702,Census Tract 1037.02,04013103702,35.28,moderate,38.83,3519
tract-04013116731,04013116731,Census Tract 1167.31,04013116731,35.08,moderate,39.08,3389
tract-04013104900,04013104900,Census Tract 1049,04013104900,34.34,moderate,38.82,4050
tract-04013112510,04013112510,Census Tract 1125.10,04013112510,34.22,moderate,39.05,4743
tract-04013116729,04013116729,Census Tract 1167.29,04013116729,34.2,moderate,38.88,3722
tract-04013116707,04013116707,Census Tract 1167.07,04013116707,34.15,moderate,38.91,3027
tract-04013104801,04013104801,Census Tract 1048.01,04013104801,33.66,moderate,38.8,3904
